Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil)
C37,100nF/16V,BottomLayer,0402_C,-534.173,-302.874,90,贴片电容,-534.173,-302.874,-534.173,-319.606
C36,1.0uF/25V,BottomLayer,0402_C,1402.638,-277.126,0,贴片电容,1402.638,-277.126,1385.906,-277.126
C35,100nF/16V,BottomLayer,0402_C,1402.638,-332.126,0,贴片电容,1402.638,-332.126,1385.906,-332.126
R40,3Ω ,BottomLayer,0402_R,-883.346,-159.646,0,贴片电阻,-883.346,-159.646,-900.079,-159.646
R39,10KΩ,BottomLayer,0402_R,-883.346,-234.449,0,贴片电阻,-883.346,-234.449,-900.079,-234.449
R38,0Ω ,BottomLayer,0402_R,-1037.441,177.166,180,贴片电阻,-1037.441,177.165,-1020.709,177.166
R36,0Ω ,BottomLayer,0402_R,54,471.732,90,贴片电阻,54,471.732,54,455
R35,0Ω ,BottomLayer,0402_R,170,471.732,90,贴片电阻,170,471.732,170,455
R34,0Ω ,BottomLayer,0402_R,228,471.732,90,贴片电阻,228,471.732,228,455
R33,0Ω ,BottomLayer,0402_R,112,471.732,90,贴片电阻,112,471.732,112,455
R32,0Ω ,BottomLayer,0402_R,286,471.732,90,贴片电阻,286,471.732,286,455
R31,0Ω ,BottomLayer,0402_R,344,471.732,90,贴片电阻,344,471.732,344,455
Q3,AO3400A N道沟 X0YV1T SOT-23,BottomLayer,SOT-23-3L,-748.346,-197.047,180,MOS(场效应管),-748.346,-197.047,-806.417,-234.449
L1,68uH,BottomLayer,LSMD4X4,-810,-30,180,Inductor,-810,-30,-734.094,-30
D6,MBR0530,BottomLayer,SOD-123,-833.661,-442.913,180,肖特基二极管,-833.661,-442.913,-891.732,-442.913
D5,MBR0530,BottomLayer,SOD-123,-833.346,-333.858,0,肖特基二极管,-833.346,-333.858,-775.275,-333.858
D4,MBR0530,BottomLayer,SOD-123,-833.661,-554.134,0,肖特基二极管,-833.661,-554.134,-775.591,-554.134
C34,4.7uF/10V,BottomLayer,0402_C,-880,85,0,贴片电容,-880,85,-896.732,85
C33,100nF/16V,BottomLayer,0402_C,-1037.441,-100,0,贴片电容,-1037.441,-100,-1054.173,-100
